#,Players,Team,MIN,PTS,FG,2PT FG,3PT FG,FT,OREB,DREB,REB,AST,PF,TO,STL,BLK,+/-,EFF
0,Isaac Bonga,Germany,19:46,11,4,2,2,1,1,5,6,1,3,0,1,0,17,16
1,Oscar Da Silva,Germany,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Maodo Lo,Germany,13:00,0,0,0,0,0,0,1,1,3,0,1,0,0,9,0
5,Niels Giffey,Germany,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,Nick Weiler-Babb,Germany,19:15,5,2,1,1,0,0,0,0,0,3,0,2,0,10,6
7,Johannes Voigtmann,Germany,19:32,3,1,0,1,0,2,4,6,1,2,0,0,0,8,4
9,Franz Wagner,Germany,26:20,22,9,7,2,2,0,6,6,1,4,1,0,1,10,21
10,Daniel Theis,Germany,19:32,18,7,5,2,2,1,6,7,0,3,1,1,0,13,25
13,Moritz Wagner,Germany,18:02,15,5,5,0,5,1,4,5,3,2,0,0,0,12,18
17,Dennis Schroder,Germany,28:09,13,6,5,1,0,0,2,2,12,0,1,0,0,8,20
32,Johannes Thiemann,Germany,18:09,7,3,2,1,0,0,1,1,1,1,1,0,0,6,7
42,Andreas Obst,Germany,18:15,3,1,0,1,0,0,1,1,2,0,0,0,0,7,5
2,Yuki Togashi,Japan,14:23,5,2,1,1,0,0,1,1,2,0,1,0,0,-9,4
4,Akira Jacobs,Japan,07:44,0,0,0,0,0,0,0,0,0,1,0,0,0,-4,-1
5,Yuki Kawamura,Japan,25:23,11,3,0,3,2,0,1,1,7,4,5,1,0,-11,7
6,Makoto Hiejima,Japan,06:21,2,1,1,0,0,2,0,2,0,3,0,2,0,6,3
7,Kai Toews,Japan,00:14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,Rui Hachimura,Japan,36:19,20,4,2,2,10,1,9,10,2,1,2,0,1,-22,14
12,Yuta Watanabe,Japan,34:04,16,6,2,4,0,0,2,2,1,2,0,0,2,-15,14
18,Yudai Baba,Japan,03:39,0,0,0,0,0,1,1,2,0,1,1,0,0,3,-1
24,Josh Hawkinson,Japan,35:32,13,4,4,0,5,3,8,11,2,3,3,2,1,-20,24
30,Keisei Tominaga,Japan,00:49,0,0,0,0,0,0,0,0,0,0,0,0,0,-3,0
34,Hugh Watanabe,Japan,04:28,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
91,Hirotaka Yoshii,Japan,31:04,10,4,2,2,0,4,2,6,2,3,1,0,0,-25,15
