#,Players,Team,MIN,PTS,FG,2PT FG,3PT FG,FT,OREB,DREB,REB,AST,PF,TO,STL,BLK,+/-,EFF
2,Yago Santos,Brazil,28:53,18,7,5,2,2,0,4,4,8,1,5,2,0,3,22
6,Cristiano Felicio,Brazil,18:01,4,2,2,0,0,0,0,0,0,2,1,0,0,-15,2
7,Didi Louzada,Brazil,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,Vitor Benite,Brazil,24:41,17,5,2,3,4,0,1,1,0,1,3,0,0,2,11
9,Marcelinho Huertas,Brazil,11:07,2,1,1,0,0,1,2,3,2,2,1,0,0,-16,4
11,Gui Santos,Brazil,29:21,8,3,1,2,0,3,2,5,1,5,0,0,1,-3,9
14,Leo Meindl,Brazil,27:28,6,2,1,1,1,1,5,6,0,2,3,1,0,-24,-1
23,Raul Neto,Brazil,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,Georginho De Paula *,Brazil,08:30,3,1,0,1,0,1,0,1,0,1,0,0,0,-5,2
45,Joao Cardoso,Brazil,02:29,0,0,0,0,0,0,0,0,0,0,0,0,0,-7,-1
51,Bruno Caboclo,Brazil,13:19,6,3,3,0,0,2,3,5,1,5,3,1,0,14,6
99,Lucas Dias,Brazil,36:11,9,2,1,1,4,1,4,5,2,3,1,3,0,-14,11
0,Isaac Bonga,Germany,21:20,15,6,3,3,0,1,1,2,0,4,0,1,1,8,17
1,Oscar Da Silva,Germany,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Maodo Lo,Germany,05:57,2,1,1,0,0,0,0,0,1,0,1,0,1,-2,2
5,Niels Giffey,Germany,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,Nick Weiler-Babb,Germany,13:30,2,1,1,0,0,0,0,0,1,1,0,2,0,-1,3
7,Johannes Voigtmann,Germany,20:28,2,0,0,0,2,2,6,8,1,1,0,1,0,6,8
9,Franz Wagner,Germany,30:41,17,7,7,0,3,1,3,4,3,3,2,4,1,12,18
10,Daniel Theis,Germany,23:44,6,3,3,0,0,2,4,6,0,3,2,0,2,5,8
13,Moritz Wagner,Germany,16:16,8,2,2,0,4,1,5,6,3,4,4,0,1,8,13
17,Dennis Schroder,Germany,31:48,20,7,3,4,2,1,2,3,6,2,5,4,0,12,22
32,Johannes Thiemann,Germany,10:11,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
42,Andreas Obst,Germany,26:05,14,4,1,3,3,0,1,1,1,3,0,1,0,15,12
