#,Players,Team,MIN,PTS,FG,2PT FG,3PT FG,FT,OREB,DREB,REB,AST,PF,TO,STL,BLK,+/-,EFF
1,Frank Ntilikina,France,08:56,3,1,1,0,1,0,0,0,1,0,0,0,0,1,0
5,Nicolas Batum,France,29:33,8,3,1,2,0,0,3,3,3,2,1,0,1,-11,11
6,Andrew Albicy,France,17:31,3,1,0,1,0,1,1,2,2,2,0,0,0,-2,4
7,Guerschon Yabusele,France,18:13,8,3,3,0,2,0,2,2,2,2,1,0,0,-14,7
8,Isaia Cordinier,France,17:39,10,4,4,0,2,1,0,1,1,3,0,1,1,-4,11
10,Evan Fournier,France,16:53,10,2,0,2,4,1,0,1,1,2,1,0,0,-11,8
12,Nando De Colo,France,03:34,0,0,0,0,0,0,0,0,1,1,0,0,0,-1,0
26,Mathias Lessort,France,15:34,5,2,2,0,1,2,1,3,2,2,0,0,0,-3,6
27,Rudy Gobert,France,18:06,4,2,2,0,0,0,1,1,0,1,3,0,4,-3,6
32,Victor Wembanyama,France,28:07,14,5,2,3,1,3,9,12,1,1,3,2,1,-8,21
85,Matthew Strazel,France,13:33,5,2,1,1,0,0,1,1,1,3,2,1,0,-13,4
99,Bilal Coulibaly,France,12:21,1,0,0,0,1,0,1,1,0,2,0,0,0,-1,-1
0,Isaac Bonga,Germany,22:04,7,2,0,2,1,1,3,4,0,1,0,0,0,7,8
1,Oscar Da Silva,Germany,00:13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Maodo Lo,Germany,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,Niels Giffey,Germany,00:13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,Nick Weiler-Babb,Germany,18:39,0,0,0,0,0,1,1,2,2,1,1,1,0,1,2
7,Johannes Voigtmann,Germany,24:31,6,2,0,2,0,1,3,4,2,3,0,1,1,9,11
9,Franz Wagner,Germany,32:54,26,8,6,2,8,2,3,5,2,4,2,1,1,15,26
10,Daniel Theis,Germany,25:46,7,3,2,1,0,4,4,8,2,1,0,2,0,5,15
13,Moritz Wagner,Germany,14:14,8,2,2,0,4,0,1,1,1,5,1,0,0,9,6
17,Dennis Schroder,Germany,33:15,26,10,6,4,2,0,4,4,9,1,4,1,0,9,29
32,Johannes Thiemann,Germany,15:29,2,1,1,0,0,1,1,2,0,3,0,3,0,5,5
42,Andreas Obst,Germany,12:42,3,1,0,1,0,0,0,0,0,1,0,1,0,10,2
