#,Players,Team,MIN,PTS,FG,2PT FG,3PT FG,FT,OREB,DREB,REB,AST,PF,TO,STL,BLK,+/-,EFF
1,Frank Ntilikina,France,21:18,9,3,0,3,0,1,0,1,3,5,1,2,0,13,12
5,Nicolas Batum,France,34:19,19,6,3,3,4,1,4,5,2,0,3,2,0,15,18
6,Andrew Albicy,France,15:35,2,1,1,0,0,0,1,1,4,2,1,1,0,9,6
7,Guerschon Yabusele,France,16:24,4,1,1,0,2,0,2,2,0,2,1,0,0,0,2
8,Isaia Cordinier,France,17:08,2,1,1,0,0,1,0,1,2,3,1,1,0,20,4
10,Evan Fournier,France,13:01,7,2,1,1,2,0,0,0,0,0,2,0,0,4,2
12,Nando De Colo,France,06:41,2,0,0,0,2,0,1,1,2,1,2,0,0,-5,3
26,Mathias Lessort,France,12:04,4,1,1,0,2,1,2,3,2,2,2,1,0,4,7
27,Rudy Gobert,France,18:15,7,3,3,0,1,0,3,3,1,4,3,0,2,5,9
32,Victor Wembanyama,France,31:22,19,7,6,1,4,2,7,9,2,0,3,4,3,11,25
85,Matthew Strazel,France,04:26,0,0,0,0,0,0,0,0,1,0,0,0,0,-7,-1
99,Bilal Coulibaly,France,09:27,3,1,1,0,1,0,2,2,0,2,0,0,1,-9,6
2,Yago Santos,Brazil,13:56,2,1,1,0,0,0,4,4,6,0,3,2,0,1,8
6,Cristiano Felicio,Brazil,28:51,14,4,4,0,6,6,0,6,1,2,0,0,0,-11,13
7,Didi Louzada,Brazil,00:16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,Vitor Benite,Brazil,13:04,7,2,1,1,2,0,2,2,2,0,1,2,0,4,9
9,Marcelinho Huertas,Brazil,25:48,11,5,4,1,0,1,2,3,5,2,4,1,0,-15,14
11,Gui Santos,Brazil,23:47,9,2,1,1,4,1,1,2,3,3,2,3,0,-5,10
14,Leo Meindl,Brazil,27:20,14,5,2,3,1,1,4,5,1,4,2,0,0,-16,9
23,Raul Neto,Brazil,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,Georginho De Paula,Brazil,21:40,2,1,1,0,0,0,2,2,2,1,2,0,0,-10,0
45,Joao Cardoso,Brazil,10:33,4,2,2,0,0,0,3,3,0,2,1,1,0,-4,5
51,Bruno Caboclo,Brazil,11:17,0,0,0,0,0,0,0,0,0,4,3,4,1,-1,-1
99,Lucas Dias,Brazil,23:28,3,1,0,1,0,1,1,2,1,3,0,1,0,-3,6
