#,Players,Team,MIN,PTS,FG,2PT FG,3PT FG,FT,OREB,DREB,REB,AST,PF,TO,STL,BLK,+/-,EFF
2,Yuki Togashi,Japan,11:44,3,1,0,1,0,1,0,1,1,1,2,0,0,-3,-2
4,Akira Jacobs,Japan,05:19,0,0,0,0,0,0,3,3,0,0,0,0,0,3,2
5,Yuki Kawamura,Japan,33:16,29,9,3,6,5,1,6,7,6,3,2,1,0,-1,24
6,Makoto Hiejima,Japan,17:02,7,2,1,1,2,1,1,2,4,0,0,0,0,-7,8
7,Kai Toews,Japan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,Rui Hachimura,Japan,28:02,24,10,7,3,1,0,3,3,0,2,0,0,0,-4,20
12,Yuta Watanabe,Japan,40:44,5,1,0,1,2,0,8,8,1,0,4,2,0,-6,9
18,Yudai Baba,Japan,03:22,0,0,0,0,0,0,0,0,0,0,0,1,0,-2,1
24,Josh Hawkinson,Japan,37:57,16,5,1,4,2,1,7,8,1,4,2,0,1,-5,18
30,Keisei Tominaga,Japan,00:06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,Hugh Watanabe,Japan,18:36,4,2,2,0,0,3,3,6,1,2,0,0,2,-2,12
91,Hirotaka Yoshii,Japan,28:52,2,1,1,0,0,1,0,1,0,5,0,0,0,7,2
1,Frank Ntilikina,France,12:57,3,1,0,1,0,1,2,3,1,2,0,0,0,-1,2
5,Nicolas Batum,France,31:08,5,2,1,1,0,1,1,2,1,0,0,0,2,-2,5
6,Andrew Albicy,France,09:26,0,0,0,0,0,0,0,0,2,1,0,1,0,-5,3
7,Guerschon Yabusele,France,17:52,13,5,2,3,0,1,1,2,1,1,1,0,0,3,10
8,Isaia Cordinier,France,07:30,5,2,1,1,0,1,1,2,0,2,1,0,0,2,5
10,Evan Fournier,France,30:15,14,5,3,2,2,0,3,3,6,0,0,1,0,0,11
12,Nando De Colo,France,14:51,4,1,1,0,2,1,2,3,2,2,1,1,0,7,8
26,Mathias Lessort,France,07:39,6,3,3,0,0,1,1,2,0,1,1,1,0,2,6
27,Rudy Gobert,France,27:15,7,3,3,0,1,6,9,15,3,3,3,1,2,12,18
32,Victor Wembanyama,France,31:00,18,6,3,3,3,1,10,11,6,1,2,2,2,-2,30
85,Matthew Strazel,France,22:37,17,5,1,4,3,0,1,1,3,3,1,0,0,10,16
99,Bilal Coulibaly,France,12:30,2,1,1,0,0,2,1,3,2,0,0,0,0,-6,5
