Title,Date
"Meu Amigo Totoro","23/07/2024"
"Peppa Pig: Temporada 5: A Cidade da Batata / A casa nova/ Basquete / Cavalo rodas brilhantes","30/06/2024"
"Peppa Pig: Temporada 4: O computador do Vovô Pig / O farol do Avô Coelho","29/06/2024"
"Ponyo - Uma Amizade que Veio do Mar","22/06/2024"
"O Serviço de Entregas da Kiki","17/06/2024"
"Star Trek: Prodigy: Temporada 1: Apanhador de sonhos","17/06/2024"
"Peppa Pig: Temporada 4: O aniversário de Edmond Elefante / A maior poça de lama do mundo / A cabana do Papai Noel / A visita do Papai Noel","11/06/2024"
"Peppa Pig: Temporada 6: O tesouro pirata / Avô Coelho no espaço / O circo da Peppa / O lago dos peixes","11/06/2024"
"Peppa Pig: Temporada 6: Os dias antigos / A Montanha Nevada","10/06/2024"
"Aggretsuko: Temporada 5: O outro lado da raiva","09/06/2024"
"Aggretsuko: Temporada 5: Mundo desconectado","09/06/2024"
"Aggretsuko: Temporada 5: Encarando o desafio","09/06/2024"
"Aggretsuko: Temporada 5: Missão fúria","09/06/2024"
"Aggretsuko: Temporada 5: Uma emergência familiar","09/06/2024"
"Aggretsuko: Temporada 5: Mensageiro misterioso","09/06/2024"
"Octonautas: Missão Planeta: Temporada 2: Os Octonautas e a raposa-vermelha / Os Octonautas e as preguiças-anãs","08/06/2024"
"Octonautas: Missão Planeta: Temporada 2: Os Octonautas e o sapo solitário / Os Octonautas e o fantasma da selva","08/06/2024"
"Peppa Pig: Temporada 1: Poças de lama/ Onde está o Senhor Dinossauro?/ Melhor amiga/ Polly Papagaio","07/06/2024"
"Octonautas: Missão Planeta: Temporada 2: Os Octonautas e a onda de frio / Os Octonautas e o mistério das enguias","07/06/2024"
"Octonautas: Missão Planeta: Temporada 2: Os Octonautas e o texugo-do-mel / Os Octonautas e a geleira rosa","07/06/2024"
"Octonautas: Missão Planeta: Temporada 2: Os Octonautas e o hotel na árvore / Os Octonautas e o albatroz teimoso","07/06/2024"
"Octonautas e o Círculo de Fogo","07/06/2024"
"Octonautas e a Grande Barreira de Corais","07/06/2024"
"Aggretsuko: Temporada 5: Recomeço","04/06/2024"
"Aggretsuko: Temporada 5: ANAGURA e a realidade","04/06/2024"
"Aggretsuko: Temporada 5: Shikabane assustadora","04/06/2024"
"Aggretsuko: Temporada 5: Uma prisão chamada liberdade","04/06/2024"
"Crescidinhos: Temporada 2: Episódio 2","04/06/2024"
"Princesa Mononoke","04/06/2024"
"Suzume","04/06/2024"
"Nausicaä do Vale do Vento","04/06/2024"
"Meus Vizinhos, Os Yamadas","04/06/2024"
"Peppa Pig: Temporada 6: Passeando de barco / O Sr. Touro na loja de porcelana / Fruta / O balão do George","03/06/2024"
"Peppa Pig: Temporada 6: O fim das férias / Espelhos / Pedro está atrasado / Jogos de jardim","03/06/2024"
"Peppa Pig: Temporada 6: Animais noturnos / Voando de férias / A casa de férias / Férias ao sol","03/06/2024"
"O Reino dos Gatos","03/06/2024"
"Peppa Pig: Temporada 6: O aquário / O carro de corrida do George / O barquinho / A caixa de areia","02/06/2024"
"Peppa Pig: Temporada 6: A rainha / A ilha deserta / O perfume / A festa das crianças","31/05/2024"
"Peppa Pig: Temporada 5: A loja do Sr. Raposo / O barrigão da Sra. Coelho","31/05/2024"
"Peppa Pig: Temporada 5: A noite barulhenta / O poço dos desejos / O show de Natal do Sr. Batata / A festa de despedida da Madame Gazela","31/05/2024"
"Peppa Pig: Temporada 5: O novo dinossauro do George / O trem do Vovô Pig para o resgate / Competição de animais de estimação / Teia de aranha","31/05/2024"
"Peppa Pig: Temporada 5: Capitão papai cão / O parque de dinossauro do Avô Coelho / História para dormir / A chave perdida","31/05/2024"
"Peppa Pig: Temporada 5: Pedro, o vaqueiro / O jardim da Peppa e do George / A veterinária voadora / Kylie canguru","31/05/2024"
"Peppa Pig: Temporada 4: Papai Pig campeão / A tagarela / A van do Sr. Raposo / Os amigos grandes da Chloé","30/05/2024"
"Morphle: Temporada 1: Pets Mágicos salvam o dia","30/05/2024"
"Morphle: Temporada 1: As aventuras épicas de Morphle e Orphle","30/05/2024"
"Peppa Pig: Temporada 4: A aula de ginástica / O arbusto de amora / A cerâmica / Aviões de papel","29/05/2024"
"The Post - A Guerra Secreta","29/05/2024"
"After Life - Vocês vão ter de me engolir: Temporada 1: Episódio 1","29/05/2024"
"Peppa Pig: Temporada 4: O dia de folga da Dona Coelha / O clube secreto / O estaleiro naval do Avô Coelho / Agito, chocalho e batida","29/05/2024"
"Peppa Pig: Temporada 4: O hospital / A primavera / O helicóptero da Dona Coelha / O bebê Alexander","29/05/2024"
"A Grande Entrevista","15/04/2024"
"Outra Vida: Temporada 1: Espaço sideral","06/04/2024"
"The Crown: Temporada 6: Sleep, Dearie, Sleep","06/04/2024"
"Thomas e seus amigos: Thomas Y Sus Amigos: Emily ao resgate","27/03/2024"
"Thomas e seus amigos: Thomas Y Sus Amigos: Thomas e as locomotivas da floresta","27/03/2024"
"The Crown: Temporada 6: Hope Street","25/03/2024"
"The Crown: Temporada 6: Ritz","25/03/2024"
"Thomas e seus amigos: Thomas Y Sus Amigos: O grande pequeno show ferroviário","25/03/2024"
"Thomas e seus amigos: Thomas Y Sus Amigos: O Amigo peludo de Thomas","24/03/2024"
"Thomas e seus amigos: Thomas Y Sus Amigos: O Melhor amigo de Emily","24/03/2024"
"The Crown: Temporada 6: Alma mater","24/03/2024"
"O Problema dos 3 Corpos: Temporada 1: Contagem regressiva","24/03/2024"
"O Problema dos 3 Corpos: Temporada 1: Barreira","23/03/2024"
"O Problema dos 3 Corpos: Temporada 1: Apenas avance","23/03/2024"
"O Problema dos 3 Corpos: Temporada 1: Estrelas, o Nosso Destino","23/03/2024"
"O Problema dos 3 Corpos: Temporada 1: Juízo Final","23/03/2024"
"O Problema dos 3 Corpos: Temporada 1: Nosso Senhor","23/03/2024"
"O Problema dos 3 Corpos: Temporada 1: Destruidor de Mundos","23/03/2024"
"O Problema dos 3 Corpos: Temporada 1: Costa Vermelha","23/03/2024"
"The Crown: Temporada 6: Ruritânia","23/03/2024"
"O Código Bill Gates: Minissérie: Parte 2","23/03/2024"
"The Crown: Temporada 6: Willmania","22/03/2024"
"The Netflix Slam","04/03/2024"
"The Crown: Temporada 6: Consequências","24/02/2024"
"Heróis fora de órbita","20/02/2024"
"The Crown: Temporada 6: Dis-Moi Oui","13/02/2024"
"The Crown: Temporada 6: Duas fotos","28/01/2024"
"The Crown: Temporada 6: Persona non grata","28/01/2024"
"Star Trek: Prodigy: Temporada 1: Loucura temporal","28/12/2023"
"Ben 10: Temporada 1: Washington A.C.","27/12/2023"
"Star Trek: Prodigy: Temporada 1: Achados e perdidos – Parte 2","27/12/2023"
"Star Trek: Prodigy: Temporada 1: Achados e perdidos – Parte 1","27/12/2023"
"Ben 10: Temporada 1: E então eram 10","24/12/2023"
"O Mundo Depois de Nós","10/12/2023"
"The Crown: Temporada 5: Fora de serviço","15/10/2023"
"The Crown: Temporada 5: Casal 31","15/10/2023"
"Cidade Perdida","15/10/2023"
"Jovem Sheldon: Temporada 1: Piloto","28/08/2023"
"Jornada nas estrelas: Temporada 1: E as meninas, de que são feitas?","07/08/2023"
"Jornada nas estrelas: Temporada 1: O ardil carbomite","07/08/2023"
"Jornada nas estrelas: Temporada 1: Corte marcial","26/06/2023"
"The Crown: Temporada 5: Pólvora","09/06/2023"
"The Crown: Temporada 5: Casa Ipatiev","09/06/2023"
"The Crown: Temporada 5: O que vem pela frente","14/05/2023"
"The Crown: Temporada 5: Nem uma coisa, nem outra","07/05/2023"
